packet_size,num_packets,duration,bytes_sent,bytes_received,target
1248,39,242,6708,144876,0
280,84,124,49859,389387,0
1099,90,90,28478,184678,0
345,40,234,28782,476674,0
1299,34,238,32840,347675,0
908,39,20,30235,332169,0
897,49,88,39782,110128,0
917,34,120,40428,416081,0
1022,82,214,32606,108692,0
295,21,136,43429,335960,0
725,91,69,47965,489529,0
495,60,64,34009,474089,0
1424,68,23,7092,339730,0
125,4,47,3879,3808,1
156,6,38,1389,3246,1
1044,91,268,37430,323820,0
997,55,78,10482,207636,0
1249,91,178,21616,441192,0
1418,33,126,23971,181208,0
885,95,200,9033,324441,0
1453,86,211,7454,101707,0
1151,56,143,10827,473177,0
1419,73,258,14342,455328,0
1262,57,290,31086,245691,0
346,37,157,31955,451491,0
1456,39,173,39775,211980,0
430,83,179,44112,474528,0
93,1,30,3303,1232,1
64,3,10,3255,2553,1
110,3,22,1090,1412,1
1366,50,144,16381,403262,0
948,71,289,27010,468458,0
572,54,29,20038,375087,0
1496,22,112,18283,445204,0
1326,55,66,17336,234384,0
1181,33,124,7044,261142,0
1301,77,188,19743,55668,0
586,82,271,41188,171759,0
196,9,41,4978,571,1
1304,49,229,48732,343423,0
1399,23,102,38703,192180,0
792,77,35,14127,348335,0
1127,29,130,18654,414986,0
62,3,31,286,3451,1
1260,38,288,13210,470343,0
637,97,160,22087,95475,0
69,6,12,3687,836,1
1085,20,268,24225,183498,0
961,81,178,9652,459415,0
266,41,22,16867,448834,0
290,58,255,13016,367420,0
773,50,262,31423,191727,0
597,59,167,10410,289241,0
1281,26,160,30518,314064,0
221,44,117,20149,464841,0
899,84,246,38691,396709,0
1167,78,22,46216,271552,0
287,22,213,11629,192105,0
462,58,132,47533,457085,0
1005,20,289,39832,357086,0
1269,28,218,26386,188286,0
1155,13,231,21299,78328,0
787,48,17,12166,423216,0
602,35,27,39215,124601,0
963,88,149,15886,140009,0
916,21,71,10585,394126,0
1462,11,54,7368,73248,0
428,71,92,46448,403076,0
469,26,257,35112,286562,0
1232,65,133,17982,303279,0
979,61,216,30215,498604,0
1413,51,183,39395,460117,0
1128,38,278,31943,132289,0
337,65,61,11318,369764,0
1395,16,280,27207,459805,0
1415,91,125,8112,75711,0
1465,40,224,35622,163143,0
1354,69,282,48360,350549,0
1023,76,114,27313,421344,0
1192,20,136,38755,226118,0
970,80,24,5159,447674,0
929,32,270,41116,55451,0
429,43,293,21724,201538,0
361,72,80,25215,137178,0
769,53,230,28377,119087,0
1476,71,139,18527,104330,0
177,7,10,819,2468,1
1118,88,117,10276,418760,0
1406,67,69,17820,285497,0
445,90,258,15651,454372,0
569,49,239,29950,251554,0
1051,25,260,23556,298709,0
1147,77,232,8630,80949,0
840,95,146,19567,143330,0
1279,55,70,47156,487805,0
1001,96,266,24799,358433,0
871,24,129,6378,109500,0
1380,36,251,45718,118431,0
1329,41,10,17763,327593,0
913,85,43,24643,320472,0
1452,60,19,45586,379317,0
250,34,104,16777,151968,0
124,7,37,2600,4045,1
1021,92,50,47604,475468,0
1368,68,19,26793,431873,0
589,72,136,10776,370815,0
994,68,8,41593,52642,0
108,2,7,2996,3261,1
1456,72,89,16639,113232,0
106,4,46,3711,4978,1
308,74,264,21859,111842,0
1415,97,61,17828,104935,0
187,6,42,4505,3053,1
1118,98,178,22058,228933,0
692,38,207,23058,326266,0
556,92,60,47417,336479,0
1353,72,282,40292,207608,0
57,7,30,3024,3803,1
833,97,87,34689,462449,0
357,32,19,39285,267583,0
339,54,72,37082,326815,0
1111,66,31,5929,460482,0
966,15,30,20275,145985,0
1000,41,60,13333,346292,0
1015,49,141,16190,112433,0
538,83,223,26083,360586,0
1224,98,10,32103,325049,0
991,68,156,30833,295300,0
747,93,270,7204,50192,0
502,11,160,12480,114925,0
1372,34,119,17306,241758,0
812,55,138,34336,120463,0
600,66,242,11796,496675,0
195,7,20,1857,691,1
1265,62,214,12684,282930,0
708,98,145,35090,162911,0
1228,45,126,49898,461817,0
750,93,144,31649,307927,0
947,78,66,44951,178557,0
1494,87,276,23099,408710,0
1497,69,298,28172,189883,0
