session_duration,bytes_from_server,pages_visited,bytes_from_client,failed_logins,anomaly
327,268200,11,34709,1,0
349,220604,12,48705,2,0
208,423479,10,37330,0,0
271,246501,6,22898,0,0
244,121635,12,24158,0,0
347,84084,11,29162,1,0
251,62289,14,22632,0,0
255,208056,11,39552,0,0
332,193401,10,26452,0,0
261,293373,11,9078,1,0
278,410596,14,22719,1,0
304,435539,13,33835,0,0
341,229785,12,24937,0,0
55,4578,4,799,5,1
16,1887,6,249,5,1
259,494328,18,40967,0,0
306,160091,11,47832,0,0
352,448872,10,8775,0,0
306,175703,11,36186,1,0
293,338107,8,35979,1,0
270,77723,9,46979,0,0
314,152471,13,22883,0,0
325,251207,16,10606,1,0
302,469139,13,48894,1,0
329,373825,8,35771,0,0
332,374912,8,20989,0,0
279,262943,12,45708,3,0
41,724,1,955,2,1
35,2238,4,530,6,1
41,1763,4,147,2,1
228,299474,9,12211,0,0
238,220182,7,19389,0,0
324,474226,12,23061,0,0
231,278071,6,8340,0,0
301,148317,12,27195,0,0
303,89499,6,24041,1,0
281,401064,7,25225,0,0
309,454772,10,37626,1,0
79,1474,3,815,5,1
349,339227,12,29209,0,0
331,246200,14,12837,0,0
315,274695,12,30256,1,0
341,473243,11,6436,0,0
29,1917,2,181,4,1
331,328226,10,13693,2,0
270,261957,11,16350,1,0
36,1492,5,633,6,1
254,178803,7,7159,0,0
297,444274,12,27403,0,0
250,396560,11,38139,1,0
301,72612,16,38949,0,0
359,253981,11,32125,1,0
297,279834,13,18007,0,0
226,313321,13,26398,1,0
229,79257,12,45469,0,0
270,141357,11,10543,1,0
336,217450,9,23981,0,0
277,125418,9,18907,0,0
207,362213,6,35573,0,0
274,427844,8,25651,0,0
345,270971,7,6539,0,0
352,202267,11,21663,2,0
326,444583,15,18921,0,0
493,72431,10,6466,1,0
321,422494,10,19678,0,0
246,310337,15,12788,0,0
298,215140,11,19622,0,0
314,113133,7,15143,3,0
318,277286,9,19541,1,0
372,288389,9,37894,0,0
309,244488,11,7253,0,0
257,307437,10,19287,0,0
304,262781,7,23771,1,0
236,162356,13,7933,0,0
